Despachos Decisões e Sentenças
Disponibilizar relatório CSV para Despachos Decisões e Sentenças

Data Início (dd/mm/yyyy): 01/12/2017
Data Fim (dd/mm/yyyy): 02/12/2017

Total de registros: 4603
Relatório gerado em  31/01/2018 15:19:46

tipo mov;Descricao TUMP;Orgao Julgador;Processo;Data Movimentacao;Juiz;
Decisão;Incompetência;10ª Vara de Família e Registro Civil da Capital;0069245-71.2017.8.17.2001;01/12/2017;VALERIA RUBIA SILVA DUARTE;
Decisão;Bloqueio/penhora on line;10º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0012078-23.2017.8.17.8201;01/12/2017;PAULO HENRIQUE MARTINS MACHADO;
Decisão;Antecipação de tutela;10º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0048249-76.2017.8.17.8201;01/12/2017;PAULO HENRIQUE MARTINS MACHADO;
Decisão;Bloqueio/penhora on line;10º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0021348-71.2017.8.17.8201;01/12/2017;PAULO HENRIQUE MARTINS MACHADO;
Decisão;Com efeito suspensivo;10º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0017725-96.2017.8.17.8201;01/12/2017;PAULO HENRIQUE MARTINS MACHADO;
Decisão;Bloqueio/penhora on line;10º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0024531-50.2017.8.17.8201;01/12/2017;PAULO HENRIQUE MARTINS MACHADO;
Decisão;Liminar;10º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0048277-83.2013.8.17.8201;01/12/2017;PAULO HENRIQUE MARTINS MACHADO;
Decisão;Assistência judiciária gratuita;11ª Vara de Família e Registro Civil da Capital;0070200-05.2017.8.17.2001;01/12/2017;PATRICIA RODRIGUES RAMOS GALVAO;
Decisão;Liminar;12ª Vara de Família e Registro Civil da Capital;0032918-30.2017.8.17.2001;01/12/2017;ANDREA EPAMINONDAS TENORIO DE BRITO;
Decisão;Antecipação de tutela;12º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Manhã - 07:00h às 13:00h;0070410-56.2017.8.17.2001;01/12/2017;ABELARDO TADEU DA SILVA SANTOS;
Decisão;Antecipação de tutela;12º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Manhã - 07:00h às 13:00h;0047784-67.2017.8.17.8201;01/12/2017;ABELARDO TADEU DA SILVA SANTOS;
Decisão;Antecipação de tutela;12º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Manhã - 07:00h às 13:00h;0046959-26.2017.8.17.8201;01/12/2017;ABELARDO TADEU DA SILVA SANTOS;
Decisão;Antecipação de tutela;12º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Manhã - 07:00h às 13:00h;0046607-68.2017.8.17.8201;01/12/2017;ABELARDO TADEU DA SILVA SANTOS;
Decisão;Antecipação de tutela;12º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Manhã - 07:00h às 13:00h;0047370-69.2017.8.17.8201;01/12/2017;ABELARDO TADEU DA SILVA SANTOS;
Decisão;A depender do julgamento de outra causa, de outro juízo ou declaração incidente;12º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Manhã - 07:00h às 13:00h;0031479-81.2012.8.17.8201;01/12/2017;ABELARDO TADEU DA SILVA SANTOS;
Decisão;Antecipação de tutela;13º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0048238-47.2017.8.17.8201;01/12/2017;FERNANDA PESSOA CHUAHY DE PAULA;
Decisão;Bloqueio/penhora on line;13º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0032904-70.2017.8.17.8201;02/12/2017;FERNANDA PESSOA CHUAHY DE PAULA;
Decisão;Bloqueio/penhora on line;13º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0033072-72.2017.8.17.8201;01/12/2017;FERNANDA PESSOA CHUAHY DE PAULA;
Decisão;Antecipação de tutela;13º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0043190-10.2017.8.17.8201;01/12/2017;FERNANDA PESSOA CHUAHY DE PAULA;
Decisão;Antecipação de tutela;13º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0048150-09.2017.8.17.8201;01/12/2017;FERNANDA PESSOA CHUAHY DE PAULA;
Decisão;Antecipação de tutela;14º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0047066-70.2017.8.17.8201;02/12/2017;FELIPPE AUGUSTO GEMIR GUIMARAES;
Decisão;Determinação de arquivamento de procedimentos investigatórios;14º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0003046-28.2016.8.17.8201;02/12/2017;FELIPPE AUGUSTO GEMIR GUIMARAES;
Decisão;Determinação de arquivamento de procedimentos investigatórios;14º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0016429-39.2017.8.17.8201;02/12/2017;FELIPPE AUGUSTO GEMIR GUIMARAES;
